TryThisPaul,AllWellsRevised,,,,
WellKey,WellID,XCoord,YCoord,layer,Q_mgd
1,SJ_1947_104677,475278.1272,3267609.413,2,0.099747961
2,SJ_1947_105005,475682.0879,3268701.11,2,0.099747961
3,SJ_1947_35373,477273.2867,3256166.111,3,0.085093837
4,SJ_1947_35377,473202.4699,3272198.467,2,0.099747961
5,SJ_1947_35378,473020.8799,3272842.541,2,0.140712901
6,SJ_1947_38648,476556.1436,3268470.482,2,0.038966649
7,SJ_1947_39255,483029.542,3255754.81,3,0.191419502
8,SJ_1947_39256,483186.0555,3255169.985,3,0.191419502
9,SJ_1947_39257,483452.6041,3254330.11,3,0.191419502
10,SJ_1947_39258,472093.0756,3273851.824,2,0.099747961
11,SJ_1947_39259,471804.9667,3274817.761,2,0.099747961
12,SJ_1947_39260,471672.5364,3275632.73,2,0.099747961
13,SJ_1947_39261,471570.6641,3276182.835,2,0.056118636
14,SJ_1947_39262,471458.6059,3276865.374,2,0.099747961
15,SJ_1947_39263,471377.1087,3277456.229,2,0.099747961
16,SJ_1947_39264,471226.9359,3271703.533,2,0.038966649
17,SJ_1947_39265,470276.8979,3276254.146,2,0.099747961
18,SJ_1947_39266,469849.0369,3275591.983,2,0.099747961
19,SJ_1947_39267,470792.3014,3275521.634,2,0.038966649
20,SJ_1947_39268,470971.7951,3274292.318,2,0.038966649
21,SJ_1947_39269,471417.7918,3273611.455,2,0.099747961
22,SJ_1947_39270,471053.8073,3272462.34,2,0.038966649
23,SJ_1947_39271,470000.0079,3274968.723,2,0.099747961
24,SJ_1947_39272,470180.498,3274391.758,2,0.099747961
25,SJ_1947_39273,470144.4646,3273849.98,2,0.099747961
26,SJ_1947_39274,470047.3639,3273180.184,2,0.099747961
27,SJ_1947_39275,470716.9713,3273324.884,2,0.056118636
28,SJ_1947_39778,475146.8669,3269430.856,2,0.099747961
29,SJ_1947_39862,475707.6245,3269420.712,2,0.099747961
30,SJ_1947_407789,469925.7381,3277256.668,2,0.099747961
31,SJ_1947_407790,470400.6901,3277005.345,2,0.099747961
32,SJ_1947_407791,469391.215,3276541.043,2,0.099747961
33,SJ_1947_407792,468609.1654,3276813.926,2,0.099747961
34,SJ_1947_407793,468659.0839,3275985.288,2,0.099747961
35,SJ_1947_407794,468667.6123,3275347.665,2,0.099747961
36,SJ_1947_407795,468858.7546,3274700.73,2,0.099747961
37,SJ_1947_407796,469194.9751,3274502.723,2,0.099747961
38,SJ_1947_407797,468690.5956,3273733.154,2,0.099747961
39,SJ_1947_407798,470089.3389,3272552.798,2,0.099747961
40,SJ_1947_407799,470193.3349,3271928.822,2,0.099747961
41,SJ_1947_407800,470671.8792,3271218.401,2,0.099747961
42,SJ_1947_407801,469517.3624,3272022.419,2,0.099747961
43,SJ_1947_407802,471151.234,3270080.944,2,0.099747961
44,SJ_1947_407803,468559.4633,3270722.797,2,0.099747961
45,SJ_1947_407804,471305.6055,3269049.11,2,0.099747961
46,SJ_1947_407805,471979.954,3269430.971,2,0.099747961
47,SJ_1947_407806,470931.8707,3268780.996,2,0.099747961
48,SJ_1947_407807,471801.2098,3268870.369,2,0.099747961
49,SJ_1947_407808,471224.3582,3268252.892,2,0.099747961
50,SJ_1947_407809,469366.5681,3272875.186,2,0.099747961
51,SJ_1947_407810,470583.3527,3277324.088,2,0.099747961
